Date,High,Low,Open,Close,Volume,Adj Close
2014-01-21,15894.6796875,15705.83984375,15710.8896484375,15795.9599609375,154300,15795.9599609375
2014-01-22,15870.5302734375,15631.41015625,15749.009765625,15820.9599609375,185300,15820.9599609375
2014-01-23,15958.580078125,15690.4501953125,15900.6298828125,15695.8896484375,206900,15695.8896484375
2014-01-24,15485.01953125,15288.3203125,15473.5703125,15391.5595703125,221000,15391.5595703125
2014-01-27,15109.6796875,14933.5498046875,15091.4501953125,15005.73046875,223900,15005.73046875
2014-01-28,15088.1201171875,14952.830078125,15038.6396484375,14980.16015625,183100,14980.16015625
2014-01-29,15383.91015625,15159.919921875,15164.33984375,15383.91015625,164800,15383.91015625
2014-01-30,15112.7001953125,14853.830078125,15112.7001953125,15007.0595703125,221200,15007.0595703125
2014-01-31,15143.8798828125,14764.5703125,15132.23046875,14914.5302734375,217400,14914.5302734375
2014-02-03,14846.9296875,14615.0498046875,14788.5595703125,14619.1298828125,202800,14619.1298828125
2014-02-04,14355.919921875,14008.4697265625,14353.330078125,14008.4697265625,294300,14008.4697265625
2014-02-05,14245.0595703125,13995.8603515625,14213.099609375,14180.3798828125,280200,14180.3798828125
2014-02-06,14308.0703125,14155.1201171875,14233.419921875,14155.1201171875,192900,14155.1201171875
2014-02-07,14471.9501953125,14356.58984375,14387.1103515625,14462.41015625,186100,14462.41015625
2014-02-10,14725.919921875,14568.2998046875,14647.830078125,14718.33984375,149800,14718.33984375
2014-02-12,14874.7900390625,14769.0400390625,14821.73046875,14800.0595703125,165100,14800.0595703125
2014-02-13,14787.6201171875,14488.3203125,14785.83984375,14534.740234375,148400,14534.740234375
2014-02-14,14678.7099609375,14243.169921875,14538.2001953125,14313.0302734375,204200,14313.0302734375
2014-02-17,14427.9501953125,14214.599609375,14343.73046875,14393.1103515625,149000,14393.1103515625
2014-02-18,14900.240234375,14469.490234375,14514.4697265625,14843.240234375,206500,14843.240234375
2014-02-19,14805.66015625,14679.1904296875,14729.48046875,14766.5302734375,153900,14766.5302734375
2014-02-20,14731.48046875,14428.73046875,14701.1396484375,14449.1796875,172000,14449.1796875
2014-02-21,14888.8095703125,14618.6103515625,14618.6103515625,14865.669921875,138700,14865.669921875
2014-02-24,14982.5302734375,14658.1396484375,14803.6396484375,14837.6796875,159500,14837.6796875
2014-02-25,15094.5400390625,14957.490234375,15002.509765625,15051.599609375,139500,15051.599609375
2014-02-26,15084.5302734375,14896.490234375,14896.490234375,14970.9697265625,126600,14970.9697265625
2014-02-27,15015.009765625,14844.3701171875,14939.8701171875,14923.1103515625,160300,14923.1103515625
2014-02-28,14943.650390625,14735.51953125,14929.5498046875,14841.0703125,160500,14841.0703125
2014-03-03,14684.7001953125,14443.099609375,14666.9296875,14652.23046875,146900,14652.23046875
2014-03-04,14750.08984375,14546.33984375,14553.9501953125,14721.48046875,125600,14721.48046875
2014-03-05,14992.1904296875,14897.6298828125,14905.9501953125,14897.6298828125,134000,14897.6298828125
2014-03-06,15203.1201171875,14871.5595703125,14933.759765625,15134.75,150000,15134.75
2014-03-07,15312.599609375,15145.58984375,15280.759765625,15274.0703125,138500,15274.0703125
2014-03-10,15266.1201171875,15088.1103515625,15197.5302734375,15120.1396484375,121100,15120.1396484375
2014-03-11,15256.0302734375,15124.3603515625,15179.4697265625,15224.1103515625,119100,15224.1103515625
2014-03-12,15020.1396484375,14828.1796875,15003.7998046875,14830.3896484375,141300,14830.3896484375
2014-03-13,14919.83984375,14790.48046875,14847.7197265625,14815.98046875,116200,14815.98046875
2014-03-14,14539.599609375,14280.75,14526.2802734375,14327.66015625,236100,14327.66015625
2014-03-17,14359.16015625,14203.2099609375,14254.3203125,14277.669921875,138000,14277.669921875
2014-03-18,14533.25,14399.7197265625,14491.41015625,14411.26953125,114000,14411.26953125
2014-03-19,14663.5400390625,14302.3701171875,14495.73046875,14462.51953125,153600,14462.51953125
2014-03-20,14548.759765625,14207.830078125,14548.759765625,14224.23046875,158700,14224.23046875
2014-03-24,14514.2802734375,14287.2802734375,14297.580078125,14475.2998046875,196200,14475.2998046875
2014-03-25,14531.7900390625,14312.080078125,14401.6904296875,14423.1904296875,186000,14423.1904296875
2014-03-26,14569.900390625,14401.419921875,14521.0,14477.16015625,166600,14477.16015625
2014-03-27,14659.849609375,14227.8095703125,14305.669921875,14622.8896484375,179000,14622.8896484375
2014-03-28,14713.4501953125,14520.5703125,14576.25,14696.0302734375,149300,14696.0302734375
2014-03-31,14843.669921875,14718.009765625,14839.5400390625,14827.830078125,141600,14827.830078125
2014-04-01,14870.509765625,14751.2900390625,14870.509765625,14791.990234375,139200,14791.990234375
2014-04-02,15069.6103515625,14893.169921875,14897.8798828125,14946.3203125,162400,14946.3203125
2014-04-03,15164.3896484375,14976.3603515625,15009.1796875,15071.8798828125,134400,15071.8798828125
2014-04-04,15098.3798828125,15000.6904296875,15005.5400390625,15063.76953125,97100,15063.76953125
2014-04-07,14895.580078125,14764.3701171875,14880.8203125,14808.849609375,112800,14808.849609375
